Year,season,avg_temperature,avg_rainfall,total_rainfall
1930,Winter,18.67823333,10.11401667,30.34205
1931,Autumn,24.6219,81.183,162.366
1931,Monsoon,28.215925,341.7965,1367.186
1931,Summer,26.9168,182.5667,547.7001
1931,Winter,19.7581,12.85331,38.55993
1932,Autumn,25.27,103.03005,206.0601
1932,Monsoon,28.11215,426.65275,1706.611
1932,Summer,27.05306667,198.9133333,596.74
1932,Winter,19.1489,9.7569,29.2707
1933,Autumn,24.6857,89.966585,179.93317
1933,Monsoon,27.832775,418.1305,1672.522
1933,Summer,26.56966667,163.67749,491.03247
1933,Winter,19.0929,10.64752,31.94256
1934,Autumn,24.22235,128.05555,256.1111
1934,Monsoon,28.02975,502.76125,2011.045
1934,Summer,27.0785,160.9870333,482.9611
1934,Winter,19.099,18.15996333,54.47989
1935,Autumn,25.0414,32.54645,65.0929
1935,Monsoon,28.121125,452.5745,1810.298
1935,Summer,27.3575,92.3691,277.1073
1935,Winter,19.1442,10.85030667,32.55092
1936,Autumn,24.92055,118.331185,236.66237
1936,Monsoon,27.805025,445.4555,1781.822
1936,Summer,27.1622,192.2452667,576.7358
1936,Winter,19.09953333,17.37823667,52.13471
1937,Autumn,24.65355,93.582195,187.16439
1937,Monsoon,28.2443,380.905,1523.62
1937,Summer,26.73043333,171.0716533,513.21496
1937,Winter,18.86466667,10.50721333,31.52164
1938,Autumn,24.53985,84.6738,169.3476
1938,Monsoon,28.033325,524.905,2099.62
1938,Summer,27.50953333,183.1358667,549.4076
1938,Winter,19.20613333,7.501893333,22.50568
1939,Autumn,24.7425,117.08778,234.17556
1939,Monsoon,27.88385,481.6695,1926.678
1939,Summer,27.3852,128.9805667,386.9417
1939,Winter,19.82493333,6.452663333,19.35799
1940,Autumn,25.5201,69.745995,139.49199
1940,Monsoon,28.108625,436.93325,1747.733
1940,Summer,26.35553333,222.9616667,668.885
1940,Winter,19.31603333,12.04443333,36.1333
1941,Autumn,24.4649,166.99385,333.9877
1941,Monsoon,28.115475,511.16775,2044.671
1941,Summer,27.6811,193.9326667,581.798
1941,Winter,19.92203333,10.26969333,30.80908
1942,Autumn,25.47,48.9155,97.831
1942,Monsoon,28.18805,456.8065,1827.226
1942,Summer,27.32156667,134.8369,404.5107
1942,Winter,19.54483333,9.887126667,29.66138
1943,Autumn,25.3578,35.53789,71.07578
1943,Monsoon,27.89375,449.6345,1798.538
