temperature,Month,Year,rainfall
18.691,1,1949,8.43542
18.6105,1,1967,24.1993
19.0692,1,1911,14.8878
17.2898,1,1954,15.6634
18.0436,1,1926,14.6215
17.715,1,1953,13.7329
18.6764,1,1965,0.27337
17.9398,1,2003,4.05949
17.1998,1,1918,0.83205
16.9382,1,1925,7.44247
18.7418,1,1994,13.981
17.8343,1,2015,8.75886
17.2889,1,1908,7.99686
17.9541,1,1977,3.89109
18.7742,1,2005,13.6412
19.1005,1,2008,22.6256
17.6546,1,1935,4.94338
17.4191,1,1992,6.15095
18.9032,1,1987,3.04431
19.473,1,1990,1.02665
17.7787,1,1910,8.7212
18.9613,1,1939,1.57736
18.3264,1,1976,1.18694
18.9885,1,1982,0.37417
18.4048,1,1944,27.2062
17.9978,1,1914,0.29132
18.4824,1,1966,15.4377
16.8006,1,1978,0.6893
19.093,1,2007,1.04976
19.7179,2,1983,36.6821
19.3065,2,1992,50.8807
19.7401,2,1994,27.5964
22.7454,2,1999,0.10675
17.8269,2,1905,22.9071
21.0936,2,1939,15.5098
21.9651,2,1963,0.9191
20.4685,2,1965,37.1055
20.3662,2,1977,33.824
21.1238,2,1964,19.8919
21.2856,2,1967,3.72153
21.7874,2,1991,28.323
20.9849,2,2003,13.9698
22.7193,2,2009,16.0921
20.6546,2,2013,11.6018
20.7237,2,1958,31.3106
21.0472,2,1969,0.74622
21.7631,2,2010,4.31731
19.5143,2,1957,27.3864
20.7283,2,1975,12.4828
19.9473,2,1984,4.05208
21.3817,2,1998,33.4868
20.212,2,1908,12.5831
20.1252,2,1902,0.14722
21.4254,2,1953,7.78775
20.6525,2,1980,42.1885
19.7055,2,1907,28.6799
21.9137,2,1952,2.5095
19.8572,2,1959,20.4774
20.4223,2,1916,7.77238
20.0129,2,1918,4.45144
19.643,2,1968,7.75839
20.9799,2,2004,3.20108
19.7421,2,1927,38.0801
20.2585,2,1930,23.9319
20.8429,2,1970,16.3557
20.6901,2,1996,22.9102
20.5581,2,1931,29.9072
